CustomerID,Recency,Frequency,MonetaryValue,Recency_log,Frequency_log,MonetaryValue_log
12346,326,1,77183.6,5.786897381366708,0.0,11.253942278212147
12347,2,182,4310.0,0.6931471805599453,5.204006687076795,8.368693183097793
12348,75,31,1797.24,4.31748811353631,3.4339872044851463,7.494007433792304
12349,19,73,1757.55,2.9444389791664403,4.290459441148391,7.471676072782274
12350,310,17,334.4,5.736572297479192,2.833213344056216,5.812337881210547
12352,36,85,2506.04,3.58351893845611,4.442651256490317,7.8264590970205665
12353,204,4,89.0,5.318119993844216,1.3862943611198906,4.48863636973214
12354,232,58,1079.4,5.44673737166631,4.060443010546419,6.984160610184542
12355,214,13,459.4,5.365976015021851,2.5649493574615367,6.129921290254998
12356,23,59,2811.43,3.1354942159291497,4.07753744390572,7.941448529680883
12357,33,131,6207.67,3.4965075614664802,4.875197323201151,8.733540903233665
12358,2,19,1168.06,0.6931471805599453,2.9444389791664403,7.0630995319318
12359,58,248,6372.58,4.060443010546419,5.5134287461649825,8.759759690114192
12360,52,129,2662.06,3.9512437185814275,4.859812404361672,7.886855538145075
12361,287,10,189.9,5.659482215759621,2.302585092994046,5.24649761781824
12362,3,266,5226.23,1.0986122886681098,5.583496308781699,8.561445455827768
12363,110,23,552.0,4.700480365792417,3.1354942159291497,6.313548046277095
12364,8,85,1313.1,2.0794415416798357,4.442651256490317,7.180146032864959
12365,291,22,641.38,5.673323267171493,3.091042453358316,6.463622104983058
12367,4,11,168.9,1.3862943611198906,2.3978952727983707,5.129306823813755
12370,51,167,3545.69,3.9318256327243257,5.117993812416755,8.17348806036476
12371,45,63,1887.96,3.8066624897703196,4.143134726391533,7.543252160040332
12372,72,52,1298.04,4.276666119016055,3.9512437185814275,7.168610713430199
12373,311,14,364.6,5.739792912179234,2.6390573296152584,5.8988008622445625
12374,25,33,742.9300000000001,3.2188758248682006,3.4965075614664802,6.610601827628056
12375,11,17,457.5,2.3978952727983707,2.833213344056216,6.125776884715576
12377,315,77,1628.12,5.752572638825633,4.343805421853684,7.395181253919741
12378,130,219,4008.62,4.867534450455582,5.389071729816501,8.296202321420104
12379,82,40,852.24,4.406719247264253,3.6888794541139363,6.7478681773029425
12380,22,104,2724.81,3.091042453358316,4.6443908991413725,7.910153979895817
12381,5,87,1845.31,1.6094379124341003,4.465908118654584,7.520402564040783
12383,185,99,1850.56,5.220355825078324,4.59511985013459,7.523243574969853
12384,29,27,585.27,3.367295829986474,3.295836866004329,6.37207327921728
12386,338,10,401.9,5.823045895483019,2.302585092994046,5.9962033014551555
12388,16,100,2780.66,2.772588722239781,4.605170185988092,7.930443588579314
12390,80,32,549.84,4.382026634673881,3.4657359027997265,6.30962732681335
12391,22,100,460.89,3.091042453358316,4.605170185988092,6.133159402810678
12393,72,64,1582.6000000000001,4.276666119016055,4.1588830833596715,7.366824343175093
12394,64,27,1272.48,4.1588830833596715,3.295836866004329,7.148723031208825
12395,19,156,3018.63,2.9444389791664403,5.049856007249537,8.012558365057973
12397,36,126,2409.9,3.58351893845611,4.836281906951478,7.787340531847876
12398,46,85,1635.6599999999999,3.828641396489095,4.442651256490317,7.39980167160342
12399,119,59,1108.65,4.77912349311153,4.07753744390572,7.010898337899006
12401,303,5,84.3,5.713732805509369,1.6094379124341003,4.4343818650078095
12402,323,11,225.6,5.777652323222656,2.3978952727983707,5.418763519623904
12403,50,5,427.7,3.912023005428146,1.6094379124341003,6.058422015232863
12405,149,54,1710.39,5.003946305945459,3.9889840465642745,7.444476693668095
12406,22,105,3415.3,3.091042453358316,4.653960350157523,8.136020615877104
12407,50,77,1708.1200000000001,3.912023005428146,4.343805421853684,7.443148629491806
12408,33,105,2888.55,3.4965075614664802,4.653960350157523,7.968509925094007
12409,79,109,11072.67,4.3694478524670215,4.6913478822291435,9.312235189032393
12410,309,26,693.3299999999999,5.733341276897746,3.258096538021482,6.541506076323389
12412,75,61,1226.88,4.31748811353631,4.110873864173311,7.112229640417225
12413,67,38,758.1,4.204692619390966,3.6375861597263857,6.630815303062258
12414,217,18,562.41,5.37989735354046,2.8903717578961645,6.33223112127721
12415,24,714,124914.53,3.1780538303479458,6.570882962339584,11.735385022413956
12417,3,192,3649.1,1.0986122886681098,5.2574953720277815,8.202235840829374
12418,113,34,668.58,4.727387818712341,3.5263605246161616,6.5051560602870175
12420,64,29,600.39,4.1588830833596715,3.367295829986474,6.3975794440576434
12421,16,45,807.04,2.772588722239781,3.8066624897703196,6.6933732333365
12422,96,39,803.5600000000001,4.564348191467836,3.6635616461296463,6.689051855693949
12423,1,125,1859.31,0.0,4.8283137373023015,7.527960730139757
12424,163,30,1760.96,5.093750200806762,3.4011973816621555,7.473614393871394
12425,78,36,777.2,4.356708826689592,3.58351893845611,6.655697717503285
12426,195,30,582.73,5.272999558563747,3.4011973816621555,6.3677239572926005
12427,22,31,825.8,3.091042453358316,3.4339872044851463,6.71635261345199
12428,26,294,7956.46,3.258096538021482,5.683579767338681,8.981739456301462
12429,9,97,3750.4,2.1972245773362196,4.574710978503383,8.22961777994264
12430,43,11,256.4,3.7612001156935624,2.3978952727983707,5.546738725046515
12431,36,235,6487.45,3.58351893845611,5.459585514144159,8.77762482031535
12432,43,108,5059.32,3.7612001156935624,4.68213122712422,8.528987365898944
12433,1,420,13375.87,0.0,6.040254711277414,9.501207616377732
12434,85,50,806.14,4.442651256490317,3.912023005428146,6.692257424693476
12435,80,36,7829.89,4.382026634673881,3.58351893845611,8.965703740354877
12436,100,16,509.01,4.605170185988092,2.772588722239781,6.232467662722958
12437,2,199,4951.41,0.6931471805599453,5.293304824724492,8.507427663485958
12438,14,98,2906.85,2.6390573296152584,4.584967478670572,7.974825299640368
12441,367,11,173.55,5.905361848054571,2.3978952727983707,5.1564657423077955
12442,3,12,172.06,1.0986122886681098,2.4849066497880004,5.147843253193202
12444,21,176,5005.46,3.044522437723423,5.170483995038151,8.518284595617938
12445,22,4,133.4,3.091042453358316,1.3862943611198906,4.893352133481524
12446,58,57,1002.3100000000001,4.060443010546419,4.04305126783455,6.910062615033829
12447,243,26,476.49,5.493061443340548,3.258096538021482,6.166446736515173
12448,44,22,449.45,3.784189633918261,3.091042453358316,6.108024613019408
12449,22,191,4067.29,3.091042453358316,5.25227342804663,8.310732208995784
12450,156,8,197.88,5.049856007249537,2.0794415416798357,5.287660786359508
12451,11,354,9035.52,2.3978952727983707,5.869296913133774,9.108918755326998
12452,17,22,430.57,2.833213344056216,3.091042453358316,6.06510991227559
12453,134,43,707.09,4.897839799950911,3.7612001156935624,6.561157956238944
12454,56,15,3528.34,4.02535169073515,2.70805020110221,8.168582784365297
12455,73,90,2466.86,4.290459441148391,4.499809670330265,7.810701365831105
12456,44,125,3181.04,3.784189633918261,4.8283137373023015,8.06496346633214
12457,66,62,2363.23,4.189654742026425,4.127134385045092,7.767784606347859
12458,71,38,947.4,4.2626798770413155,3.6375861597263857,6.8537213904896515
12461,94,35,826.88,4.543294782270004,3.5553480614894135,6.717659581714128
