,n_Recency,n_Frequency,n_MonetaryValue,n_Recency_log,n_Frequency_log,n_MonetaryValue_log
0,0.871313672922252,0.0,0.2754433431249504,0.9768142327500831,0.0,0.8851013413989097
1,0.002680965147453083,0.023069079785878157,0.015368362290569594,0.11700156175944479,0.5802935446631364,0.6279839523690227
2,0.19839142091152814,0.003823604384399694,0.006400697610336989,0.7287815147044379,0.38292045476557507,0.5500368120462342
3,0.04825737265415549,0.009176650522559266,0.006259049935605446,0.49701415331381443,0.4784248113132139,0.5480467650703575
4,0.8284182305630027,0.002039255671679837,0.0011800404043835902,0.9683194807325421,0.31592876663515673,0.4001757531508176
5,0.09383378016085792,0.010706092276319143,0.008930298815923225,0.6048892993479504,0.49539556736792845,0.5796630594897001
6,0.5442359249329759,0.00038236043843996943,0.0003042445016594619,0.8976857474934072,0.15458428805606722,0.28221481970401113
7,0.6193029490616622,0.0072648483303594195,0.003838833996598243,0.9193960487059621,0.45277591078888396,0.5046020922803787
8,0.5710455764075067,0.0015294417537598777,0.0016261467118021563,0.9057637277181168,0.2860149196616174,0.42847702428577433
9,0.058981233243967826,0.007392301809839409,0.010020190057703672,0.5292638135742795,0.4546820938367863,0.5899102796488582
10,0.08579088471849866,0.016568952332398676,0.022140862741761514,0.5902019900950982,0.5436283436449171,0.6604971566374827
11,0.002680965147453083,0.002294162630639816,0.004155248278324083,0.11700156175944479,0.3283314251897283,0.511636690952243
12,0.15281501340482573,0.03148100943155748,0.02272940187101268,0.6853929251870725,0.6147968868496759,0.6628336294355046
13,0.13672922252010725,0.016314045373438696,0.009487110864590783,0.6669603497380772,0.541912786839449,0.5850452551812009
14,0.7667560321715818,0.0011470813153199083,0.0006643415130077282,0.9553068620415641,0.25675894476080535,0.3497512087405031
15,0.005361930294906166,0.0337751720621973,0.01863825014693849,0.18544308791453043,0.6226100501912474,0.6451609653270474
16,0.2922252010723861,0.0028039765485597754,0.0019566222643378297,0.7934296773349664,0.3496358022272921,0.4448408218325363
17,0.01876675603217158,0.010706092276319143,0.0046728743489479925,0.3510046852783344,0.49539556736792845,0.5220672256211483
18,0.7774798927613941,0.0026765230690797863,0.002275606118394401,0.9576431979266405,0.3446790309508811,0.45821458917932617
19,0.00804289544235925,0.0012745347947998981,0.0005893956533614092,0.23400312351888958,0.26738688692284746,0.33930781547376737
20,0.13404825737265416,0.02115727759367831,0.012640654195984922,0.6636826239745177,0.5707023356343145,0.6105883550296578
21,0.11796246648793565,0.007902115727759368,0.006724463724009087,0.6425553892240146,0.4619967807430293,0.554425228789116
